salary,lifestyle,rent,food,travel,gym,misc,total_expense,savings,lifestyle_encoded
136958,Basic,31385.81707038882,32423.158134111658,8168.995534734445,2834.073838294163,14567.023303255957,89379.06788078505,47578.93211921495,0
161867,Rich,55963.04321990392,44461.1715773383,19857.623498698977,8278.117190365585,17667.05155565478,146227.00704196157,15639.992958038434,2
146932,Basic,33265.90496337561,30871.007805053232,7831.800731927693,4065.2789115835362,20843.494086155177,96877.48649809524,50054.51350190476,0
118694,Middle,34808.76362049032,27316.512413733984,12949.688347746183,5157.809030899889,15359.751760732079,95592.52517360245,23101.47482639755,1
134879,Basic,31473.78335603238,28329.39737696847,10305.381706606086,3223.599299201953,15601.975640936469,88934.13737974534,45944.86262025466,0
125268,Rich,41467.195755646724,35315.241797939816,16907.326386700275,6684.34449817884,14277.868408331611,114651.97684679728,10616.023153202725,2
222892,Rich,72805.96815044401,60975.69286658335,33223.14058615326,16095.331980853334,18883.463971409827,201983.5975554438,20908.40244455621,2
69886,Basic,16620.774812038653,14310.0283499814,3551.894231953474,1961.8759863366406,10460.460209282195,46905.03358959236,22980.966410407636,0
152337,Middle,39416.314709405844,35590.83106799203,13243.545461505664,9405.83620212707,19082.903087917286,116739.43052894791,35597.56947105209,1
228458,Middle,64881.74884717994,48009.00000115071,25090.430303638754,15962.034173698532,30449.459103600275,184392.6724292682,44065.32757073181,1
183266,Rich,59501.705266341196,54275.820209914906,18471.855185923352,13176.40491056306,21176.36076601601,166602.1463387585,16663.853661241505,2
102498,Basic,20815.676073599047,22806.13386696372,5754.4000377290095,3211.299578728428,13578.6427085479,66166.1522655681,36331.847734431896,0
127727,Middle,33864.40756429706,28483.00393614874,11645.327777436765,6524.51675787075,13791.578002397115,94308.83403815042,33418.165961849576,1
141324,Middle,41588.540140264784,28335.53556309297,16294.14383459928,8076.718374116954,16475.96065852364,110770.89857059764,30553.101429402363,1
190203,Rich,63937.281721696556,52379.54912703671,23766.898204902056,10138.631779141086,18179.724667315782,168402.0855000922,21800.914499907813,2
206335,Middle,54070.75059011748,41428.93073406042,19478.846292697093,8809.403472250964,23283.151291701302,147071.08238082728,59263.91761917272,1
31023,Basic,6348.107156948157,6361.175602481809,1736.3678215992718,1240.8264622340319,3105.6879331930218,18792.164976456294,12230.835023543706,0
56090,Rich,18618.157407999675,14418.61795111548,8190.90160940537,2962.056069612498,6629.979766636424,50819.71280476945,5270.28719523055,2
82221,Rich,27177.848925263952,20560.463127603427,11897.408290995885,5397.919980605682,7441.558732344311,72475.19905681326,9745.80094318674,2
79820,Basic,19026.21119746488,19662.322225562497,5149.246045107313,2100.1495666009823,11130.679989624292,57068.60902435996,22751.39097564004,0
15769,Rich,5268.253775731307,4642.986895812903,2122.9126733615626,903.6559512832036,1849.173388377999,14786.982684566974,982.0173154330259,2
74735,Middle,19075.49497837199,15948.235071461764,7533.869760329784,4257.8219095522645,7530.711834578089,54346.1335542939,20388.866445706102,1
209027,Middle,60414.788758008675,45584.684647425194,20120.257934802157,13436.482632950645,24866.723476131672,164422.93744931836,44604.06255068164,1
79925,Basic,16173.722412692165,16690.09743274214,6288.266831593764,1711.042971800419,9410.893811868435,50274.02346069692,29650.976539303083,0
214041,Middle,58895.29860474184,48087.31607821864,17157.183606490482,11779.721166116782,25511.252033897134,161430.77148946485,52610.22851053515,1
20311,Basic,5049.395169141187,4223.834007749934,1231.346776711463,576.6217688731866,2427.8688216028686,13509.06654407864,6801.93345592136,0
118355,Basic,27611.220380336807,24946.35121275331,6702.6977089990005,4093.21523619637,14796.094216907799,78149.57875519329,40205.42124480671,0
229176,Middle,62051.18586080551,47774.0639285593,20053.14955352475,9239.585457567626,23965.235329632556,163083.22013008976,66092.77986991024,1
199779,Basic,45518.03387932608,48864.67610199751,11710.03468839053,5305.120260846052,21132.678664117866,132530.54359467805,67248.45640532195,0
100305,Middle,27025.33134995602,20247.67615384133,11705.997513541995,6037.693013208926,14999.352966309341,80016.05099685761,20288.949003142392,1
174765,Rich,60143.829501275344,47824.36005538288,22017.63772344978,9737.430683087321,17211.132230054198,156934.39019324954,17830.609806750464,2
218004,Rich,75244.38442664634,55055.31248831518,31213.341864042173,13130.039536478866,25284.215233682236,199927.29354916484,18076.70645083516,2
239088,Basic,59065.25475236864,55837.38720517558,16720.072628666105,6946.722581882144,33897.1820602853,172466.61922837776,66621.38077162224,0
